"Distance [mm]","Voltage [V]"
0.31767312,-0.957756034752117
0.321966,-0.957269728207036
0.32625888,-0.956783421662369
0.33055176,-0.956297115118107
0.33484464,-0.955810808574248
0.33913752,-0.955324502030794
0.3434304,-0.954838195487747
0.34772328,-0.954351888945088
0.35201616,-0.953865582402805
0.35630904,-0.953379275860894
0.36060192,-0.952892969319328
0.3648948,-0.952406662778025
0.36918768,-0.951920356236958
0.37348056,-0.951434049696123
0.37777344,-0.950947743155507
0.38206632,-0.950461436615113
0.3863592,-0.949975130074941
0.39065208,-0.949488823534993
0.39494496,-0.949002516995266
0.39923784,-0.948516210455751
0.40353072,-0.948029903916427
0.4078236,-0.947543597377295
0.41211648,-0.947057290838356
0.41640936,-0.946570984299605
0.42070224,-0.946084677761041
0.42499512,-0.945598371222669
0.429288,-0.945112064684487
0.43358088,-0.944625758146497
0.43787376,-0.944139451608711
0.44216664,-0.943653145071188
0.44645952,-0.943166838533931
0.4507524,-0.942680531996942
0.45504528,-0.942194225460262
0.45933816,-0.941707918923909
0.46363104,-0.941221612387882
0.46792392,-0.94073530585218
0.4722168,-0.940248999316805
0.47650968,-0.939762692781765
0.48080256,-0.939276386247033
0.48509544,-0.938790079712605
0.48938832,-0.93830377317848
0.4936812,-0.937817466644658
0.49797408,-0.937331160111123
0.50226696,-0.936844853577715
0.50655984,-0.936358547044397
0.51085272,-0.935872240511169
0.5151456,-0.93538593397803
0.51943848,-0.934899627444974
0.52373136,-0.934413320912002
0.52802424,-0.93392701437912
0.53231712,-0.93344070784633
0.53661,-0.93295440131363
0.54090288,-0.932468094781023
0.54519576,-0.931981788248515
0.54948864,-0.93149548171616
0.55378152,-0.931009175183966
0.5580744,-0.930522868651933
0.56236728,-0.93003656212006
0.56666016,-0.929550255588348
0.57095304,-0.929063949056798
0.57524592,-0.92857764252541
0.5795388,-0.928091335994187
0.58383168,-0.927605029463135
0.58812456,-0.927118722932252
0.59241744,-0.926632416401576
0.59671032,-0.92614610987116
0.6010032,-0.925659803341021
0.60529608,-0.925173496811158
0.60958896,-0.924687190281573
0.61388184,-0.924200883752289
0.61817472,-0.923714577223296
0.6224676,-0.923228270694594
0.62676048,-0.922741964166183
0.63105336,-0.922255657638062
0.63534624,-0.921769351110233
0.63963912,-0.921283044582694
0.643932,-0.920796738055445
0.64822488,-0.9203104315285
0.65251776,-0.91982412500186
0.65681064,-0.919337818475526
0.66110352,-0.918851511949501
0.6653964,-0.918365205423781
0.66968928,-0.917878898898348
