Scalar,data,"SurfaceValue(Surface(Rectangle1), VOLTAGE)",
NumElems,3579,,
5.00E-06,-2.10E-03,0.00E+00,"		-4.9965249158829367e-01"
5.00E-06,-2.10E-03,0.00E+00,"		-4.9998010977998242e-01"
3.59E-06,-2.10E-03,0.00E+00,"		-4.9993317454675329e-01"
2.54E-06,-2.10E-03,0.00E+00,"		-4.9998235137076324e-01"
2.19E-06,-2.10E-03,0.00E+00,"		-4.9972392170871571e-01"
1.13E-06,-2.10E-03,0.00E+00,"		-4.9994790085611551e-01"
7.93E-08,-2.10E-03,0.00E+00,"		-4.9998375217274565e-01"
-4.04E-06,-1.97E-03,0.00E+00,"		-7.4392974408419377e-01"
-4.52E-06,-1.97E-03,0.00E+00,"		-8.1203072330962445e-01"
-3.96E-06,-1.97E-03,0.00E+00,"		-7.3541631112222405e-01"
-5.00E-06,-1.97E-03,0.00E+00,"		-8.8377567678721036e-01"
-4.44E-06,-1.97E-03,0.00E+00,"		-8.0252395380006536e-01"
-3.88E-06,-1.97E-03,0.00E+00,"		-7.2512120219657883e-01"
-1.52E-06,-2.11E-03,0.00E+00,"		-8.9907051454098628e-03"
-8.51E-07,-2.11E-03,0.00E+00,"		-4.8300401773239045e-03"
-2.05E-06,-2.11E-03,0.00E+00,"		-4.9880496812135027e-03"
-1.86E-07,-2.12E-03,0.00E+00,"		-2.7196702059839092e-03"
-1.39E-06,-2.12E-03,0.00E+00,"		-2.8978126862330938e-03"
-2.59E-06,-2.12E-03,0.00E+00,"		-3.1087873415697903e-03"
-1.52E-06,-2.11E-03,0.00E+00,"		-8.9907051454098628e-03"
-2.05E-06,-2.11E-03,0.00E+00,"		-4.9880496812135027e-03"
-2.22E-06,-2.11E-03,0.00E+00,"		-1.3767993610132361e-02"
-2.59E-06,-2.12E-03,0.00E+00,"		-3.1087873415697903e-03"
-2.76E-06,-2.11E-03,0.00E+00,"		-7.4724115082786995e-03"
-2.92E-06,-2.11E-03,0.00E+00,"		-2.1047485157838903e-02"
-1.42E-06,-1.92E-03,0.00E+00,"		-5.1864553181995665e-01"
-7.25E-07,-1.92E-03,0.00E+00,"		-5.1125329562891220e-01"
-7.92E-07,-1.92E-03,0.00E+00,"		-5.1179124309266844e-01"
-2.57E-08,-1.92E-03,0.00E+00,"		-5.0922262267795970e-01"
-9.27E-08,-1.92E-03,0.00E+00,"		-5.0909085692955625e-01"
-1.60E-07,-1.92E-03,0.00E+00,"		-5.0916368578917670e-01"
-1.25E-06,-1.93E-03,0.00E+00,"		-5.1653808183676042e-01"
-1.81E-06,-1.93E-03,0.00E+00,"		-5.2629473920433534e-01"
-1.54E-06,-1.93E-03,0.00E+00,"		-5.2087990576993171e-01"
-2.36E-06,-1.93E-03,0.00E+00,"		-5.4387521870320255e-01"
-2.10E-06,-1.93E-03,0.00E+00,"		-5.3455585663147942e-01"
-1.84E-06,-1.93E-03,0.00E+00,"		-5.2704334997287450e-01"
-5.39E-07,-1.92E-03,0.00E+00,"		-5.1049807510013112e-01"
-1.07E-06,-1.92E-03,0.00E+00,"		-5.1429086652671085e-01"
-4.37E-07,-1.92E-03,0.00E+00,"		-5.0989934114469837e-01"
-1.60E-06,-1.92E-03,0.00E+00,"		-5.2201211793417079e-01"
-9.68E-07,-1.92E-03,0.00E+00,"		-5.1326065172213975e-01"
-3.35E-07,-1.92E-03,0.00E+00,"		-5.0968982408656360e-01"
-2.16E-07,-1.96E-03,0.00E+00,"		-5.0926191852381564e-01"
4.40E-07,-1.96E-03,0.00E+00,"		-5.0979970802029340e-01"
1.45E-07,-1.96E-03,0.00E+00,"		-5.0916220823918912e-01"
1.10E-06,-1.96E-03,0.00E+00,"		-5.1471156380199279e-01"
8.01E-07,-1.96E-03,0.00E+00,"		-5.1191672292915458e-01"
5.06E-07,-1.96E-03,0.00E+00,"		-5.1029552707394676e-01"
-2.16E-07,-1.96E-03,0.00E+00,"		-5.0926191852381564e-01"
6.00E-07,-1.96E-03,0.00E+00,"		-5.1081618637579440e-01"
4.40E-07,-1.96E-03,0.00E+00,"		-5.0979970802029340e-01"
1.42E-06,-1.96E-03,0.00E+00,"		-5.1828341674319300e-01"
1.26E-06,-1.96E-03,0.00E+00,"		-5.1642324400066086e-01"
1.10E-06,-1.96E-03,0.00E+00,"		-5.1471156380199279e-01"
2.14E-06,-1.96E-03,0.00E+00,"		-5.3609209676243486e-01"
1.62E-06,-1.96E-03,0.00E+00,"		-5.2188356455343665e-01"
1.78E-06,-1.96E-03,0.00E+00,"		-5.2549514768640149e-01"
1.10E-06,-1.96E-03,0.00E+00,"		-5.1471156380199279e-01"
1.26E-06,-1.96E-03,0.00E+00,"		-5.1642324400066086e-01"
1.42E-06,-1.96E-03,0.00E+00,"		-5.1828341674319300e-01"
1.42E-06,-1.96E-03,0.00E+00,"		-5.1828341674319300e-01"
1.93E-06,-1.96E-03,0.00E+00,"		-5.2938090132486015e-01"
1.78E-06,-1.96E-03,0.00E+00,"		-5.2549514768640149e-01"
2.44E-06,-1.96E-03,0.00E+00,"		-5.4847320608378403e-01"
2.29E-06,-1.96E-03,0.00E+00,"		-5.4171382686945269e-01"
2.14E-06,-1.96E-03,0.00E+00,"		-5.3609209676243486e-01"
3.15E-07,-1.98E-03,0.00E+00,"		-5.0010851263025180e-01"
-2.28E-07,-1.98E-03,0.00E+00,"		-5.0002674939689717e-01"
-1.08E-06,-1.98E-03,0.00E+00,"		-5.0009982574855516e-01"
-7.71E-07,-1.98E-03,0.00E+00,"		-5.0000700346827198e-01"
-1.62E-06,-1.98E-03,0.00E+00,"		-5.0002632815590420e-01"
-2.48E-06,-1.98E-03,0.00E+00,"		-5.0018576749853705e-01"
-1.22E-06,-1.98E-03,0.00E+00,"		-5.0086325421569944e-01"
-7.37E-08,-1.98E-03,0.00E+00,"		-5.0069416066693251e-01"
-4.51E-07,-1.98E-03,0.00E+00,"		-5.0026370107305607e-01"
1.07E-06,-1.98E-03,0.00E+00,"		-5.0112476335197076e-01"
6.92E-07,-1.98E-03,0.00E+00,"		-5.0032257829647631e-01"
3.15E-07,-1.98E-03,0.00E+00,"		-5.0010851263025180e-01"
-1.22E-06,-1.98E-03,0.00E+00,"		-5.0086325421569944e-01"
-4.51E-07,-1.98E-03,0.00E+00,"		-5.0026370107305607e-01"
-1.85E-06,-1.98E-03,0.00E+00,"		-5.0033346961427627e-01"
3.15E-07,-1.98E-03,0.00E+00,"		-5.0010851263025180e-01"
-1.08E-06,-1.98E-03,0.00E+00,"		-5.0009982574855516e-01"
-2.48E-06,-1.98E-03,0.00E+00,"		-5.0018576749853705e-01"
-5.00E-06,-2.11E-03,0.00E+00,"		-4.8018051022948277e-01"
-5.00E-06,-2.11E-03,0.00E+00,"		-4.8737611722364194e-01"
-4.43E-06,-2.11E-03,0.00E+00,"		-4.8284829269956836e-01"
-5.00E-06,-2.11E-03,0.00E+00,"		-4.9169182380637827e-01"
-4.43E-06,-2.11E-03,0.00E+00,"		-4.8881430631740885e-01"
-3.87E-06,-2.11E-03,0.00E+00,"		-4.8547873269265224e-01"
-3.87E-06,-2.11E-03,0.00E+00,"		-4.8547873269265224e-01"
-4.43E-06,-2.11E-03,0.00E+00,"		-4.9390635852425413e-01"
-3.32E-06,-2.11E-03,0.00E+00,"		-4.9043829630315983e-01"
-5.00E-06,-2.11E-03,0.00E+00,"		-4.9776952735847585e-01"
-3.89E-06,-2.11E-03,0.00E+00,"		-4.9618971010509050e-01"
-2.78E-06,-2.11E-03,0.00E+00,"		-4.9375158145100317e-01"
-5.00E-06,-2.11E-03,0.00E+00,"		-4.9169182380637827e-01"
-5.00E-06,-2.11E-03,0.00E+00,"		-4.9563900640016850e-01"
-4.43E-06,-2.11E-03,0.00E+00,"		-4.8881430631740885e-01"
-5.00E-06,-2.11E-03,0.00E+00,"		-4.9776952735847585e-01"
-4.43E-06,-2.11E-03,0.00E+00,"		-4.9390635852425413e-01"
-3.87E-06,-2.11E-03,0.00E+00,"		-4.8547873269265224e-01"
-9.48E-07,-1.96E-03,0.00E+00,"		-5.1315704379029603e-01"
-2.63E-07,-1.96E-03,0.00E+00,"		-5.0919388673646382e-01"
-1.03E-06,-1.96E-03,0.00E+00,"		-5.1375354973937670e-01"
4.22E-07,-1.96E-03,0.00E+00,"		-5.0964004568454446e-01"
-3.44E-07,-1.96E-03,0.00E+00,"		-5.0942032302902496e-01"
-1.11E-06,-1.96E-03,0.00E+00,"		-5.1440423657509227e-01"
-1.85E-06,-1.96E-03,0.00E+00,"		-5.2702832338581396e-01"
-1.40E-06,-1.96E-03,0.00E+00,"		-5.1818529784171152e-01"
-1.48E-06,-1.96E-03,0.00E+00,"		-5.1923466339031976e-01"
-9.48E-07,-1.96E-03,0.00E+00,"		-5.1315704379029603e-01"
-1.03E-06,-1.96E-03,0.00E+00,"		-5.1375354973937670e-01"
-1.11E-06,-1.96E-03,0.00E+00,"		-5.1440423657509227e-01"
-1.85E-06,-1.96E-03,0.00E+00,"		-5.2702832338581396e-01"
-1.48E-06,-1.96E-03,0.00E+00,"		-5.1923466339031976e-01"
-2.09E-06,-1.96E-03,0.00E+00,"		-5.3384411855356728e-01"
-1.11E-06,-1.96E-03,0.00E+00,"		-5.1440423657509227e-01"
-1.72E-06,-1.96E-03,0.00E+00,"		-5.2401427675409962e-01"
-2.34E-06,-1.97E-03,0.00E+00,"		-5.4230483283929387e-01"
-1.35E-06,-1.91E-03,0.00E+00,"		-5.1769106237718665e-01"
-1.77E-06,-1.91E-03,0.00E+00,"		-5.2504684480921715e-01"
-1.20E-06,-1.91E-03,0.00E+00,"		-5.1591426335488333e-01"
-2.20E-06,-1.91E-03,0.00E+00,"		-5.3619663652556593e-01"
-1.63E-06,-1.91E-03,0.00E+00,"		-5.2189797892134304e-01"
-1.05E-06,-1.91E-03,0.00E+00,"		-5.1420413300621348e-01"
-2.34E-06,-1.91E-03,0.00E+00,"		-5.4302746550082792e-01"
-2.27E-06,-1.91E-03,0.00E+00,"		-5.3988541495646525e-01"
-1.85E-06,-1.91E-03,0.00E+00,"		-5.2704872884334986e-01"
-2.20E-06,-1.91E-03,0.00E+00,"		-5.3619663652556593e-01"
-1.77E-06,-1.91E-03,0.00E+00,"		-5.2504684480921715e-01"
-1.35E-06,-1.91E-03,0.00E+00,"		-5.1769106237718665e-01"
-2.95E-06,-1.91E-03,0.00E+00,"		-5.8336148663297838e-01"
-2.65E-06,-1.91E-03,0.00E+00,"		-5.5880413163715281e-01"
-2.46E-06,-1.91E-03,0.00E+00,"		-5.4783420600982136e-01"
-2.34E-06,-1.91E-03,0.00E+00,"		-5.4302746550082792e-01"
-2.16E-06,-1.91E-03,0.00E+00,"		-5.3583272088349942e-01"
-1.97E-06,-1.92E-03,0.00E+00,"		-5.3012188760906132e-01"
9.59E-08,-1.91E-03,0.00E+00,"		-5.0917750350033986e-01"
6.90E-07,-1.91E-03,0.00E+00,"		-5.1108788103995262e-01"
-1.26E-07,-1.91E-03,0.00E+00,"		-5.0914265343972454e-01"
1.28E-06,-1.92E-03,0.00E+00,"		-5.1669562800078617e-01"
4.68E-07,-1.92E-03,0.00E+00,"		-5.1004801215903617e-01"
-3.49E-07,-1.92E-03,0.00E+00,"		-5.0952643581368484e-01"
-3.49E-07,-1.92E-03,0.00E+00,"		-5.0952643581368484e-01"
-7.61E-08,-1.92E-03,0.00E+00,"		-5.0897391117111224e-01"
