"Distance [mm]","Voltage [V]"
0.93155496,-0.60967357640285
0.93584784,-0.610167963038922
0.94014072,-0.610662349674719
0.9444336,-0.611156736310242
0.94872648,-0.61165112294549
0.95301936,-0.612145509580465
0.95731224,-0.612639896215165
0.96160512,-0.61313428284959
0.965898,-0.613628669483742
0.97019088,-0.614123056117619
0.97448376,-0.614617442751221
0.97877664,-0.61511182938455
0.98306952,-0.6156062160176
0.9873624,-0.616100602650364
0.99165528,-0.616594989282857
0.99594816,-0.617089375915083
1.00024104,-0.617583762547045
1.00453392,-0.618078149178744
1.0088268,-0.61857253581018
1.01311968,-0.619066922441352
1.01741256,-0.619561309072261
1.02170544,-0.620055695702907
1.02599832,-0.62055008233329
1.0302912,-0.621044468963409
1.03458408,-0.621538855593265
1.03887696,-0.622033242222858
1.04316984,-0.622527628852188
1.04746272,-0.623022015481254
1.0517556,-0.623516402110057
1.05604848,-0.624010788738596
1.06034136,-0.624505175366873
1.06463424,-0.624999561994886
1.06892712,-0.625493948622636
1.07322,-0.625988335250122
1.07751288,-0.626482721877346
1.08180576,-0.626977108504308
1.08609864,-0.627471495131007
1.09039152,-0.627965881757443
1.0946844,-0.628460268383615
1.09897728,-0.628954655009523
1.10327016,-0.629449041635161
1.10756304,-0.62994342826054
1.11185592,-0.630437814885659
1.1161488,-0.630932201510519
1.12044168,-0.631426588135119
1.12473456,-0.631920974759459
1.12902744,-0.63241536138354
1.13332032,-0.632909748007362
1.1376132,-0.633404134630924
1.14190608,-0.633898521254226
1.14619896,-0.634392907877269
1.15049184,-0.634887294500053
1.15478472,-0.635381681122576
1.1590776,-0.635876067744841
1.16337048,-0.636370454366845
1.16766336,-0.63686484098859
1.17195624,-0.637359227610076
1.17624912,-0.637853614231302
1.180542,-0.638348000852269
1.18483488,-0.638842387472976
1.18912776,-0.639336774093424
1.19342064,-0.639831160713612
1.19771352,-0.64032554733354
1.2020064,-0.640819933953209
1.20629928,-0.641314320572618
1.21059216,-0.641808707191768
1.21488504,-0.642303093810659
1.21917792,-0.64279748042929
1.2234708,-0.643291867047661
1.22776368,-0.643786253665773
1.23205656,-0.644280640283633
1.23634944,-0.644775026901245
1.24064232,-0.645269413518603
1.2449352,-0.645763800135706
1.24922808,-0.646258186752555
1.25352096,-0.646752573369152
1.25781384,-0.647246959985496
1.26210672,-0.647741346601585
1.2663996,-0.648235733217421
1.27069248,-0.648730119833003
1.27498536,-0.64922450644833
1.27927824,-0.649718893063404
1.28357112,-0.650213279678223
1.287864,-0.650707666292789
1.29215688,-0.651202052907101
1.29644976,-0.651696439521158
1.30074264,-0.652190826134962
1.30503552,-0.652685212748511
1.3093284,-0.653179599361807
1.31362128,-0.653673985974849
1.31791416,-0.654168372587636
1.32220704,-0.65466275920017
1.32649992,-0.655157145812449
1.3307928,-0.655651532424475
1.33508568,-0.656145919036247
1.33937856,-0.656640305647764
1.34367144,-0.657134692259028
1.34796432,-0.657629078870038
1.3522572,-0.658123465480794
1.35655008,-0.658617852091296
1.36084296,-0.659112238701545
1.36513584,-0.659606625311541
1.36942872,-0.660101011921283
1.3737216,-0.660595398530771
1.37801448,-0.661089785140005
1.38230736,-0.661584171748986
1.38660024,-0.662078558357712
1.39089312,-0.662572944966185
1.395186,-0.663067331574405
1.39947888,-0.663561718182371
