Scalar,data,"SurfaceValue(Surface(PDF_Geometry_3), VOLTAGE)",
NumElems,334,,
3.50E-07,-1.93E-03,3.46E-08,"		9.9836090201942240e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9838653215065376e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9837213385316459e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9835918397892742e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9838653215065376e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9838122627693016e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9838449312962518e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9838313811672275e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9838834327795045e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9838110759967336e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9838313811672275e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9839214457816317e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9837492084349100e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9843685514136671e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9838912519142275e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9835214340004619e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9835214340004619e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9838912519142275e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9836844828432270e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9843685514136671e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9841446448445748e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9839672101860555e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9839672101860555e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9840104437284838e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9840328756175478e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9838004589189844e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9839819780349903e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9841440568537410e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9843685514136671e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9839278476888482e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9841446448445748e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9838004589189844e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9840104437284838e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9839672101860555e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9836207004136657e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9836090201942240e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9835946411641630e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9835918397892742e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9835751967777808e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9837033647116136e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9834881448357971e-01"
4.00E-07,-1.94E-03,3.46E-08,"		9.9831151656992567e-01"
3.50E-07,-1.94E-03,3.46E-08,"		9.9834820674047686e-01"
