"Distance [mm]","Voltage [mV]"
0.88195283,-896.693523731561
0.8861727,-896.189430257221
0.89039257,-895.685336782879
0.89461244,-895.181243308537
0.89883231,-894.677149834193
0.90305218,-894.173056359847
0.90727205,-893.668962885501
0.91149192,-893.164869411153
0.91571179,-892.660775936805
0.91993166,-892.156682462456
0.92415153,-891.652588988105
0.9283714,-891.148495513754
0.93259127,-890.644402039403
0.93681114,-890.14030856505
0.94103101,-889.636215090695
0.94525088,-889.132121616343
0.94947075,-888.628028141992
0.95369062,-888.123934667645
0.95791049,-887.6198411933
0.96213036,-887.115747718957
0.96635023,-886.611654244618
0.9705701,-886.107560770281
0.97478997,-885.603467295947
0.97900984,-885.099373821617
0.98322971,-884.59528034729
0.98744958,-884.091186872966
0.99166945,-883.587093398647
0.99588932,-883.082999924329
1.00010919,-882.578906450015
1.00432906,-882.074812975704
1.00854893,-881.570719501397
1.0127688,-881.066626027093
1.01698867,-880.562532552795
1.02120854,-880.0584390785
1.02542841,-879.554345604209
1.02964828,-879.050252129921
1.03386815,-878.546158655637
1.03808802,-878.042065181357
1.04230789,-877.537971707081
1.04652776,-877.033878232807
1.05074763,-876.529784758538
1.0549675,-876.025691284272
1.05918737,-875.52159781001
1.06340724,-875.017504335751
1.06762711,-874.513410861496
1.07184698,-874.009317387244
1.07606685,-873.505223912996
1.08028672,-873.001130438751
1.08450659,-872.49703696451
1.08872646,-871.992943490272
1.09294633,-871.488850016037
1.0971662,-870.984756541806
1.10138607,-870.480663067578
1.10560594,-869.976569593354
1.10982581,-869.472476119134
1.11404568,-868.968382644917
1.11826555,-868.464289170704
1.12248542,-867.960195696495
1.12670529,-867.456102222289
1.13092516,-866.952008748087
1.13514503,-866.447915273889
1.1393649,-865.943821799695
1.14358477,-865.439728325504
1.14780464,-864.935634851318
1.15202451,-864.431541377135
1.15624438,-863.927447902956
1.16046425,-863.423354428781
1.16468412,-862.91926095461
1.16890399,-862.415167480443
1.17312386,-861.91107400628
1.17734373,-861.40698053212
1.1815636,-860.902887057964
1.18578347,-860.398793583813
1.19000334,-859.894700109665
1.19422321,-859.390606635521
1.19844308,-858.886513161381
1.20266295,-858.382419687245
1.20688282,-857.878326213112
1.21110269,-857.374232738984
1.21532256,-856.870139264859
1.21954243,-856.366045790737
1.2237623,-855.861952316619
1.22798217,-855.357858842504
