Scalar,data,"SurfaceValue(Surface(PDF_Geometry_3), VOLTAGE)",
NumElems,136,,
3.00E-07,-1.94E-03,3.46E-08,"		9.9996060768174777e-01"
4.00E-07,-1.94E-03,3.46E-08,"		1.0000207171201838e+00"
3.50E-07,-1.94E-03,3.46E-08,"		1.0000226478320562e+00"
3.00E-07,-1.94E-03,3.46E-08,"		1.0000245520309741e+00"
4.00E-07,-1.95E-03,3.46E-08,"		1.0000170410507829e+00"
4.00E-07,-1.95E-03,3.46E-08,"		1.0000041165386915e+00"
3.50E-07,-1.95E-03,3.46E-08,"		1.0000064264506114e+00"
4.00E-07,-1.95E-03,3.46E-08,"		9.9999974129208857e-01"
3.50E-07,-1.95E-03,3.46E-08,"		1.0000002802522059e+00"
3.00E-07,-1.95E-03,3.46E-08,"		1.0000006207330616e+00"
4.00E-07,-1.95E-03,3.46E-08,"		1.0000170410507829e+00"
3.50E-07,-1.95E-03,3.46E-08,"		1.0000262132515807e+00"
4.00E-07,-1.95E-03,3.46E-08,"		1.0000325851524139e+00"
3.00E-07,-1.94E-03,3.46E-08,"		1.0000245520309741e+00"
3.50E-07,-1.94E-03,3.46E-08,"		1.0000226478320562e+00"
4.00E-07,-1.94E-03,3.46E-08,"		1.0000207171201838e+00"
4.00E-07,-1.95E-03,3.46E-08,"		1.0000170410507829e+00"
3.50E-07,-1.95E-03,3.46E-08,"		1.0000064264506114e+00"
3.50E-07,-1.95E-03,3.46E-08,"		1.0000262132515807e+00"
3.00E-07,-1.95E-03,3.46E-08,"		1.0000006207330616e+00"
3.00E-07,-1.95E-03,3.46E-08,"		1.0000173633103231e+00"
3.00E-07,-1.94E-03,3.46E-08,"		1.0000245520309741e+00"
3.00E-07,-1.95E-03,3.46E-08,"		9.9994021351966955e-01"
3.00E-07,-1.95E-03,3.46E-08,"		1.0000149677894394e+00"
3.50E-07,-1.95E-03,3.46E-08,"		1.0000197239449662e+00"
3.00E-07,-1.95E-03,3.46E-08,"		1.0000006207330616e+00"
3.50E-07,-1.95E-03,3.46E-08,"		1.0000002802522059e+00"
4.00E-07,-1.95E-03,3.46E-08,"		9.9999974129208857e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9986550984677136e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9989832800056710e-01"
4.00E-07,-1.95E-03,3.46E-08,"		1.0000676864771947e+00"
3.00E-07,-1.95E-03,3.46E-08,"		9.9994021351966955e-01"
3.50E-07,-1.95E-03,3.46E-08,"		1.0000197239449662e+00"
4.00E-07,-1.95E-03,3.46E-08,"		9.9999974129208857e-01"
4.00E-07,-1.96E-03,3.46E-08,"		9.9978550340343553e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9983514455244193e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9981163853059962e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9994021351966955e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9989832800056710e-01"
4.00E-07,-1.95E-03,3.46E-08,"		9.9986550984677136e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9994021351966955e-01"
3.50E-07,-1.95E-03,3.46E-08,"		9.9983514455244193e-01"
3.00E-07,-1.95E-03,3.46E-08,"		9.9990365959915295e-01"
4.00E-07,-1.96E-03,3.46E-08,"		9.9978550340343553e-01"
3.50E-07,-1.96E-03,3.46E-08,"		9.9990316016300729e-01"
3.00E-07,-1.96E-03,3.46E-08,"		9.9996030665887770e-01"
4.00E-07,-1.96E-03,3.46E-08,"		9.9978550340343553e-01"
4.00E-07,-1.96E-03,3.47E-08,"		9.9994874781331045e-01"
