Temperature             Resistance
(Kelvin)                (Ohms)

1.19689024889534E+00   1.40820218184710E+04
1.29791029614024E+00   1.19453089306857E+04
1.39929366026615E+00   1.03282800277547E+04
1.59624972801001E+00   8.12624127651982E+03
1.79896032396632E+00   6.64974876751120E+03
2.00025180217353E+00   5.63318457521285E+03
2.20114511832215E+00   4.89043349648862E+03
2.40099347288414E+00   4.32685380421940E+03
2.60128090227048E+00   3.88387396347500E+03
2.80015594043979E+00   3.53036810383325E+03
2.99972858523901E+00   3.23787747810489E+03
3.20229990933066E+00   2.99297930491660E+03
3.40291961227118E+00   2.78740693180771E+03
3.60315164122651E+00   2.61138105098841E+03
3.80307160657538E+00   2.45877692486404E+03
4.00317618201201E+00   2.32547462919995E+03
4.20287792615814E+00   2.20786735276602E+03
4.60184663718329E+00   2.00941487396627E+03
5.00254278038688E+00   1.84816501194629E+03
5.50009141497828E+00   1.68576968248254E+03
6.20063305871558E+00   1.50746069079255E+03
7.00619877572725E+00   1.35150344965454E+03
8.00297592343241E+00   1.20486557345808E+03
9.00672588533756E+00   1.09181390990407E+03
1.00040100369539E+01   1.00255691986452E+03
1.10022630436996E+01   9.29455237300537E+02
1.20014681534802E+01   8.68258714338541E+02
1.30016880658822E+01   8.16253998036599E+02
1.40032598229217E+01   7.71226344240610E+02
1.50021298901095E+01   7.31950926397871E+02
1.60016050090832E+01   6.97175925205071E+02
1.70033259980836E+01   6.66150610216064E+02
1.80014065317176E+01   6.38263843761591E+02
1.90030060954586E+01   6.12944487428380E+02
2.00862446661516E+01   5.88022967955526E+02
2.11532561834853E+01   5.65794635919146E+02
2.27203364927248E+01   5.36381479004124E+02
2.43230128492335E+01   5.09736316474647E+02
2.59067239223907E+01   4.86155184542331E+02
2.74933439545733E+01   4.64982663129612E+02
2.90897748753172E+01   4.45597839697842E+02
3.08966163102812E+01   4.25745096054962E+02
3.29880551417503E+01   4.05089882201102E+02
3.59880122807125E+01   3.79085223801619E+02
3.89883127946157E+01   3.56554419159736E+02
4.19859721287526E+01   3.36829537180877E+02
4.49766337395650E+01   3.19427178791028E+02
4.79791283931808E+01   3.03836875138011E+02
4.99732582168343E+01   2.94378266479583E+02
5.49730218030499E+01   2.73306169333229E+02
5.99676510428297E+01   2.55338958439740E+02
6.49610053477080E+01   2.39766944438777E+02
6.99484778295972E+01   2.26169883109723E+02
7.49374599400841E+01   2.14132460461875E+02
7.99350128336224E+01   2.03388288764984E+02
8.49362607019543E+01   1.93741552244122E+02
8.99325412009545E+01   1.85019445010447E+02
9.49286011292449E+01   1.77085401176760E+02
9.99262606540730E+01   1.69835642588205E+02
1.09903814905842E+02   1.57079134851233E+02
1.19913957463472E+02   1.46127494717979E+02
1.29908301071133E+02   1.36653671734283E+02
1.39892423903190E+02   1.28364274687946E+02
1.49893887002918E+02   1.21031859659784E+02
1.59897156241757E+02   1.14520727736283E+02
1.69896287987743E+02   1.08689046720119E+02
1.79890267126256E+02   1.03445369501348E+02
1.89886094762407E+02   9.87019641719313E+01
1.99885982880480E+02   9.43912242056747E+01
2.09890627122222E+02   9.04618824375609E+01
2.19895514154106E+02   8.68698995885506E+01
2.29902390334772E+02   8.35582955663346E+01
2.39903599185726E+02   8.05340860904932E+01
2.49906051888467E+02   7.77274415567308E+01
2.59926302494232E+02   7.51293606999312E+01
2.69949090389546E+02   7.27173260399207E+01
2.79963901274485E+02   7.04822903696766E+01
2.89974841947174E+02   6.83990090659025E+01
2.99991177269219E+02   6.64518244654096E+01
3.10013077858812E+02   6.46322181928397E+01
3.15043956828680E+02   6.37656903293020E+01
3.20059895264036E+02   6.29243845976884E+01
3.26057712726489E+02   6.19584292148389E+01
3.30072264216332E+02   6.13301303424911E+01
