Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   1.400   1.031029E+04   -1.403656E+04   -1.9060E+00
   1.500   9.071070E+03   -1.093198E+04   -1.8077E+00
   1.600   8.093083E+03   -8.756429E+03   -1.7311E+00
   1.700   7.300421E+03   -7.169448E+03   -1.6695E+00
   1.800   6.646591E+03   -5.961779E+03   -1.6145E+00
   1.900   6.099061E+03   -5.025619E+03   -1.5656E+00
   2.000   5.634949E+03   -4.285477E+03   -1.5210E+00
   2.100   5.237090E+03   -3.692085E+03   -1.4805E+00
   2.200   4.892862E+03   -3.208974E+03   -1.4429E+00
   2.300   4.592437E+03   -2.811804E+03   -1.4082E+00
   2.400   4.328266E+03   -2.481803E+03   -1.3761E+00
   2.500   4.094297E+03   -2.205290E+03   -1.3466E+00
   2.600   3.885787E+03   -1.971440E+03   -1.3191E+00
   2.700   3.698855E+03   -1.772278E+03   -1.2937E+00
   2.800   3.530392E+03   -1.601318E+03   -1.2700E+00
   2.900   3.377816E+03   -1.453656E+03   -1.2480E+00
   3.000   3.239020E+03   -1.325259E+03   -1.2275E+00
   3.100   3.112226E+03   -1.213021E+03   -1.2083E+00
   3.200   2.995964E+03   -1.114323E+03   -1.1902E+00
   3.300   2.888977E+03   -1.027150E+03   -1.1733E+00
   3.400   2.790209E+03   -9.497470E+02   -1.1573E+00
   3.500   2.698747E+03   -8.807600E+02   -1.1423E+00
   3.600   2.613816E+03   -8.189895E+02   -1.1280E+00
   3.700   2.534740E+03   -7.635008E+02   -1.1145E+00
   3.800   2.460935E+03   -7.134557E+02   -1.1017E+00
   3.900   2.391889E+03   -6.681842E+02   -1.0895E+00
   4.000   2.327159E+03   -6.270788E+02   -1.0778E+00
   4.200   2.209113E+03   -5.555774E+02   -1.0563E+00
   4.400   2.104159E+03   -4.956385E+02   -1.0364E+00
   4.600   2.010240E+03   -4.449726E+02   -1.0182E+00
   4.800   1.925670E+03   -4.018082E+02   -1.0016E+00
   5.000   1.849114E+03   -3.646879E+02   -9.8612E-01
   5.200   1.779462E+03   -3.325597E+02   -9.7182E-01
   5.400   1.715817E+03   -3.045354E+02   -9.5843E-01
   5.600   1.657409E+03   -2.800750E+02   -9.4631E-01
   5.800   1.603602E+03   -2.584201E+02   -9.3467E-01
   6.000   1.553878E+03   -2.392144E+02   -9.2368E-01
   6.500   1.444525E+03   -1.999988E+02   -8.9994E-01
   7.000   1.352380E+03   -1.699021E+02   -8.7942E-01
   7.500   1.273536E+03   -1.463473E+02   -8.6186E-01
   8.000   1.205243E+03   -1.275426E+02   -8.4659E-01
   8.500   1.145398E+03   -1.123223E+02   -8.3354E-01
   9.000   1.092475E+03   -9.978055E+01   -8.2201E-01
   9.500   1.045267E+03   -8.934420E+01   -8.1201E-01
  10.000   1.002857E+03   -8.054704E+01   -8.0318E-01
  10.500   9.645004E+02   -7.306832E+01   -7.9546E-01
  11.000   9.296138E+02   -6.664212E+01   -7.8857E-01
  11.500   8.977131E+02   -6.108826E+01   -7.8256E-01
  12.000   8.684056E+02   -5.625473E+01   -7.7735E-01
  12.500   8.413613E+02   -5.200414E+01   -7.7262E-01
  13.000   8.163240E+02   -4.821842E+01   -7.6788E-01
  13.500   7.930696E+02   -4.487257E+01   -7.6384E-01
  14.000   7.713818E+02   -4.194470E+01   -7.6126E-01
  14.500   7.510727E+02   -3.933029E+01   -7.5930E-01
  15.000   7.320148E+02   -3.693656E+01   -7.5688E-01
  15.500   7.141001E+02   -3.475916E+01   -7.5447E-01
  16.000   6.972202E+02   -3.279413E+01   -7.5257E-01
  16.500   6.812757E+02   -3.101037E+01   -7.5105E-01
  17.000   6.661843E+02   -2.938004E+01   -7.4973E-01
  17.500   6.518728E+02   -2.788705E+01   -7.4865E-01
  18.000   6.382768E+02   -2.651690E+01   -7.4780E-01
  18.500   6.253377E+02   -2.525589E+01   -7.4717E-01
  19.000   6.130048E+02   -2.409161E+01   -7.4672E-01
  19.500   6.012317E+02   -2.301399E+01   -7.4642E-01
  20.000   5.899779E+02   -2.201383E+01   -7.4626E-01
  21.000   5.688830E+02   -2.021788E+01   -7.4633E-01
  22.000   5.494654E+02   -1.865127E+01   -7.4678E-01
  23.000   5.315169E+02   -1.727513E+01   -7.4754E-01
  24.000   5.148630E+02   -1.605666E+01   -7.4847E-01
  25.000   4.993584E+02   -1.497277E+01   -7.4960E-01
  26.000   4.848799E+02   -1.400217E+01   -7.5082E-01
  27.000   4.713218E+02   -1.312887E+01   -7.5210E-01
  28.000   4.585939E+02   -1.234005E+01   -7.5344E-01
  29.000   4.466176E+02   -1.162400E+01   -7.5478E-01
  30.000   4.353245E+02   -1.097199E+01   -7.5612E-01
  31.000   4.246549E+02   -1.037613E+01   -7.5746E-01
  32.000   4.145558E+02   -9.829782E+00   -7.5877E-01
  33.000   4.049806E+02   -9.327724E+00   -7.6007E-01
  34.000   3.958873E+02   -8.864791E+00   -7.6134E-01
  35.000   3.872395E+02   -8.436427E+00   -7.6251E-01
  36.000   3.790037E+02   -8.040226E+00   -7.6371E-01
  37.000   3.711495E+02   -7.672523E+00   -7.6488E-01
  38.000   3.636503E+02   -7.330053E+00   -7.6596E-01
  39.000   3.564815E+02   -7.011197E+00   -7.6704E-01
  40.000   3.496208E+02   -6.713531E+00   -7.6809E-01
  42.000   3.367451E+02   -6.174115E+00   -7.7006E-01
  44.000   3.248812E+02   -5.699543E+00   -7.7191E-01
  46.000   3.139102E+02   -5.279759E+00   -7.7369E-01
  48.000   3.037315E+02   -4.906145E+00   -7.7534E-01
  50.000   2.942589E+02   -4.572667E+00   -7.7698E-01
  52.000   2.854183E+02   -4.273137E+00   -7.7852E-01
  54.000   2.771468E+02   -4.003058E+00   -7.7997E-01
  56.000   2.693883E+02   -3.759401E+00   -7.8150E-01
  58.000   2.620945E+02   -3.537948E+00   -7.8293E-01
  60.000   2.552232E+02   -3.336524E+00   -7.8438E-01
  65.000   2.396581E+02   -2.905222E+00   -7.8795E-01
  70.000   2.260340E+02   -2.556351E+00   -7.9167E-01
  75.000   2.139926E+02   -2.268855E+00   -7.9519E-01
  77.350   2.088012E+02   -2.151197E+00   -7.9691E-01
  80.000   2.032624E+02   -2.031151E+00   -7.9942E-01
  85.000   1.936184E+02   -1.831292E+00   -8.0395E-01
  90.000   1.849020E+02   -1.659895E+00   -8.0794E-01
  95.000   1.769786E+02   -1.513050E+00   -8.1219E-01
 100.000   1.697387E+02   -1.385942E+00   -8.1652E-01
 105.000   1.630924E+02   -1.274967E+00   -8.2083E-01
 110.000   1.569666E+02   -1.177465E+00   -8.2515E-01
 115.000   1.512990E+02   -1.091229E+00   -8.2943E-01
 120.000   1.460386E+02   -1.014433E+00   -8.3356E-01
 125.000   1.411412E+02   -9.456975E-01   -8.3755E-01
 130.000   1.365701E+02   -8.838601E-01   -8.4134E-01
 135.000   1.322927E+02   -8.279905E-01   -8.4493E-01
 140.000   1.282816E+02   -7.772968E-01   -8.4830E-01
 145.000   1.245122E+02   -7.311368E-01   -8.5144E-01
 150.000   1.209636E+02   -6.889594E-01   -8.5434E-01
 155.000   1.176167E+02   -6.503059E-01   -8.5700E-01
 160.000   1.144553E+02   -6.147784E-01   -8.5941E-01
 165.000   1.114643E+02   -5.820406E-01   -8.6159E-01
 170.000   1.086307E+02   -5.517987E-01   -8.6353E-01
 175.000   1.059426E+02   -5.238003E-01   -8.6523E-01
 180.000   1.033893E+02   -4.978234E-01   -8.6671E-01
 185.000   1.009613E+02   -4.736747E-01   -8.6795E-01
 190.000   9.864984E+01   -4.511835E-01   -8.6898E-01
 195.000   9.644697E+01   -4.301995E-01   -8.6979E-01
 200.000   9.434555E+01   -4.105893E-01   -8.7039E-01
 205.000   9.233899E+01   -3.922343E-01   -8.7079E-01
 210.000   9.042130E+01   -3.750286E-01   -8.7099E-01
 215.000   8.858695E+01   -3.588778E-01   -8.7099E-01
 220.000   8.683090E+01   -3.436970E-01   -8.7081E-01
 225.000   8.514849E+01   -3.294097E-01   -8.7045E-01
 230.000   8.353543E+01   -3.159473E-01   -8.6990E-01
 235.000   8.198775E+01   -3.032478E-01   -8.6919E-01
 240.000   8.050178E+01   -2.912546E-01   -8.6832E-01
 245.000   7.907411E+01   -2.799169E-01   -8.6728E-01
 250.000   7.770159E+01   -2.691881E-01   -8.6610E-01
 255.000   7.638128E+01   -2.590260E-01   -8.6476E-01
 260.000   7.511045E+01   -2.493920E-01   -8.6329E-01
 265.000   7.388654E+01   -2.402508E-01   -8.6168E-01
 270.000   7.270718E+01   -2.315700E-01   -8.5994E-01
 273.150   7.198604E+01   -2.263244E-01   -8.5878E-01
 275.000   7.157012E+01   -2.233200E-01   -8.5808E-01
 280.000   7.047330E+01   -2.154734E-01   -8.5611E-01
 285.000   6.941476E+01   -2.080053E-01   -8.5402E-01
 290.000   6.839266E+01   -2.008923E-01   -8.5183E-01
 295.000   6.740528E+01   -1.941131E-01   -8.4954E-01
 300.000   6.645100E+01   -1.876480E-01   -8.4716E-01
 305.000   6.552831E+01   -1.814786E-01   -8.4469E-01
 310.000   6.463575E+01   -1.755877E-01   -8.4214E-01
 315.000   6.377199E+01   -1.699601E-01   -8.3951E-01
 320.000   6.293574E+01   -1.645806E-01   -8.3682E-01
 325.000   6.212579E+01   -1.594355E-01   -8.3406E-01
