Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   1.400   1.956429E+04   -3.194058E+04   -2.2856E+00
   1.500   1.678420E+04   -2.416810E+04   -2.1599E+00
   1.600   1.464774E+04   -1.889959E+04   -2.0644E+00
   1.700   1.295375E+04   -1.516360E+04   -1.9900E+00
   1.800   1.158368E+04   -1.237156E+04   -1.9224E+00
   1.900   1.045736E+04   -1.024506E+04   -1.8614E+00
   2.000   9.518888E+03   -8.593301E+03   -1.8055E+00
   2.100   8.727113E+03   -7.290567E+03   -1.7543E+00
   2.200   8.052175E+03   -6.246403E+03   -1.7066E+00
   2.300   7.471242E+03   -5.400534E+03   -1.6625E+00
   2.400   6.966974E+03   -4.707766E+03   -1.6217E+00
   2.500   6.525696E+03   -4.135051E+03   -1.5841E+00
   2.600   6.136819E+03   -3.656799E+03   -1.5493E+00
   2.700   5.791817E+03   -3.254259E+03   -1.5171E+00
   2.800   5.483942E+03   -2.912547E+03   -1.4871E+00
   2.900   5.207653E+03   -2.620515E+03   -1.4593E+00
   3.000   4.958489E+03   -2.369029E+03   -1.4333E+00
   3.100   4.732725E+03   -2.151227E+03   -1.4091E+00
   3.200   4.527313E+03   -1.961361E+03   -1.3863E+00
   3.300   4.339670E+03   -1.795022E+03   -1.3650E+00
   3.400   4.167649E+03   -1.648485E+03   -1.3448E+00
   3.500   4.009410E+03   -1.518831E+03   -1.3259E+00
   3.600   3.863404E+03   -1.403559E+03   -1.3079E+00
   3.700   3.728285E+03   -1.300697E+03   -1.2908E+00
   3.800   3.602908E+03   -1.208521E+03   -1.2746E+00
   3.900   3.486271E+03   -1.125645E+03   -1.2592E+00
   4.000   3.377510E+03   -1.050838E+03   -1.2445E+00
   4.200   3.180668E+03   -9.217810E+02   -1.2172E+00
   4.400   3.007333E+03   -8.147311E+02   -1.1920E+00
   4.600   2.853614E+03   -7.251254E+02   -1.1689E+00
   4.800   2.716353E+03   -6.494861E+02   -1.1477E+00
   5.000   2.593076E+03   -5.850031E+02   -1.1280E+00
   5.200   2.481745E+03   -5.296406E+02   -1.1098E+00
   5.400   2.380724E+03   -4.817248E+02   -1.0927E+00
   5.600   2.288626E+03   -4.402055E+02   -1.0771E+00
   5.800   2.204311E+03   -4.037070E+02   -1.0622E+00
   6.000   2.126853E+03   -3.715513E+02   -1.0482E+00
   6.500   1.958110E+03   -3.065704E+02   -1.0177E+00
   7.000   1.817684E+03   -2.574033E+02   -9.9127E-01
   7.500   1.698854E+03   -2.193991E+02   -9.6859E-01
   8.000   1.596952E+03   -1.894042E+02   -9.4883E-01
   8.500   1.508459E+03   -1.653751E+02   -9.3187E-01
   9.000   1.430843E+03   -1.457581E+02   -9.1682E-01
   9.500   1.362130E+03   -1.295730E+02   -9.0369E-01
  10.000   1.300829E+03   -1.160364E+02   -8.9202E-01
  10.500   1.245742E+03   -1.046117E+02   -8.8174E-01
  11.000   1.195939E+03   -9.485882E+01   -8.7249E-01
  11.500   1.150654E+03   -8.648359E+01   -8.6434E-01
  12.000   1.109267E+03   -7.923874E+01   -8.5720E-01
  12.500   1.071264E+03   -7.289956E+01   -8.5063E-01
  13.000   1.036249E+03   -6.727255E+01   -8.4395E-01
  13.500   1.003879E+03   -6.232204E+01   -8.3810E-01
  14.000   9.738192E+02   -5.801798E+01   -8.3409E-01
  14.500   9.457802E+02   -5.419701E+01   -8.3091E-01
  15.000   9.195660E+02   -5.071383E+01   -8.2725E-01
  15.500   8.950119E+02   -4.755803E+01   -8.2362E-01
  16.000   8.719548E+02   -4.472100E+01   -8.2061E-01
  16.500   8.502456E+02   -4.215577E+01   -8.1808E-01
  17.000   8.297609E+02   -3.981923E+01   -8.1581E-01
  17.500   8.103923E+02   -3.768678E+01   -8.1383E-01
  18.000   7.920439E+02   -3.573598E+01   -8.1214E-01
  18.500   7.746295E+02   -3.394620E+01   -8.1072E-01
  19.000   7.580740E+02   -3.229843E+01   -8.0951E-01
  19.500   7.423099E+02   -3.077786E+01   -8.0851E-01
  20.000   7.272773E+02   -2.937057E+01   -8.0769E-01
  21.000   6.991960E+02   -2.685313E+01   -8.0652E-01
  22.000   6.734599E+02   -2.466820E+01   -8.0584E-01
  23.000   6.497679E+02   -2.275820E+01   -8.0558E-01
  24.000   6.278687E+02   -2.107474E+01   -8.0557E-01
  25.000   6.075539E+02   -1.958364E+01   -8.0584E-01
  26.000   5.886477E+02   -1.825402E+01   -8.0626E-01
  27.000   5.710001E+02   -1.706237E+01   -8.0680E-01
  28.000   5.544830E+02   -1.599015E+01   -8.0746E-01
  29.000   5.389858E+02   -1.502040E+01   -8.0817E-01
  30.000   5.244122E+02   -1.414046E+01   -8.0893E-01
  31.000   5.106787E+02   -1.333906E+01   -8.0973E-01
  32.000   4.977112E+02   -1.260658E+01   -8.1053E-01
  33.000   4.854451E+02   -1.193561E+01   -8.1137E-01
  34.000   4.738220E+02   -1.131876E+01   -8.1220E-01
  35.000   4.627916E+02   -1.074961E+01   -8.1297E-01
  36.000   4.523080E+02   -1.022467E+01   -8.1380E-01
  37.000   4.423293E+02   -9.738748E+00   -8.1463E-01
  38.000   4.328191E+02   -9.287319E+00   -8.1539E-01
  39.000   4.237440E+02   -8.868063E+00   -8.1619E-01
  40.000   4.150734E+02   -8.477567E+00   -8.1697E-01
  42.000   3.988396E+02   -7.772281E+00   -8.1846E-01
  44.000   3.839261E+02   -7.154313E+00   -8.1992E-01
  46.000   3.701732E+02   -6.609797E+00   -8.2137E-01
  48.000   3.574461E+02   -6.126875E+00   -8.2275E-01
  50.000   3.456302E+02   -5.697240E+00   -8.2418E-01
  52.000   3.346273E+02   -5.312477E+00   -8.2554E-01
  54.000   3.243544E+02   -4.966542E+00   -8.2685E-01
  56.000   3.147379E+02   -4.655271E+00   -8.2829E-01
  58.000   3.057142E+02   -4.373003E+00   -8.2964E-01
  60.000   2.972285E+02   -4.116820E+00   -8.3104E-01
  65.000   2.780614E+02   -3.570469E+00   -8.3464E-01
  70.000   2.613486E+02   -3.129603E+00   -8.3824E-01
  75.000   2.466286E+02   -2.770902E+00   -8.4263E-01
  77.350   2.402910E+02   -2.624454E+00   -8.4482E-01
  80.000   2.335422E+02   -2.471030E+00   -8.4645E-01
  85.000   2.218391E+02   -2.218540E+00   -8.5006E-01
  90.000   2.112891E+02   -2.006859E+00   -8.5484E-01
  95.000   2.017207E+02   -1.825100E+00   -8.5953E-01
 100.000   1.929968E+02   -1.668157E+00   -8.6434E-01
 105.000   1.850059E+02   -1.531168E+00   -8.6901E-01
 110.000   1.776572E+02   -1.410912E+00   -8.7359E-01
 115.000   1.708735E+02   -1.304677E+00   -8.7806E-01
 120.000   1.645909E+02   -1.210212E+00   -8.8234E-01
 125.000   1.587546E+02   -1.125815E+00   -8.8644E-01
 130.000   1.533183E+02   -1.050047E+00   -8.9034E-01
 135.000   1.482417E+02   -9.817433E-01   -8.9405E-01
 140.000   1.434901E+02   -9.199084E-01   -8.9753E-01
 145.000   1.390332E+02   -8.637320E-01   -9.0080E-01
 150.000   1.348445E+02   -8.125157E-01   -9.0384E-01
 155.000   1.309007E+02   -7.656783E-01   -9.0664E-01
 160.000   1.271813E+02   -7.227141E-01   -9.0921E-01
 165.000   1.236679E+02   -6.831978E-01   -9.1154E-01
 170.000   1.203442E+02   -6.467565E-01   -9.1362E-01
 175.000   1.171957E+02   -6.130730E-01   -9.1546E-01
 180.000   1.142093E+02   -5.818666E-01   -9.1705E-01
 185.000   1.113733E+02   -5.528966E-01   -9.1841E-01
 190.000   1.086770E+02   -5.259487E-01   -9.1952E-01
 195.000   1.061108E+02   -5.008370E-01   -9.2039E-01
 200.000   1.036659E+02   -4.773955E-01   -9.2103E-01
 205.000   1.013343E+02   -4.554789E-01   -9.2144E-01
 210.000   9.910874E+01   -4.349562E-01   -9.2162E-01
 215.000   9.698258E+01   -4.157125E-01   -9.2159E-01
 220.000   9.494966E+01   -3.976435E-01   -9.2135E-01
 225.000   9.300434E+01   -3.806567E-01   -9.2090E-01
 230.000   9.114143E+01   -3.646682E-01   -9.2026E-01
 235.000   8.935612E+01   -3.496029E-01   -9.1943E-01
 240.000   8.764398E+01   -3.353924E-01   -9.1842E-01
 245.000   8.600088E+01   -3.219749E-01   -9.1724E-01
 250.000   8.442300E+01   -3.092943E-01   -9.1591E-01
 255.000   8.290679E+01   -2.972994E-01   -9.1442E-01
 260.000   8.144894E+01   -2.859433E-01   -9.1278E-01
 265.000   8.004636E+01   -2.751834E-01   -9.1102E-01
 270.000   7.869618E+01   -2.649804E-01   -9.0913E-01
 273.150   7.787124E+01   -2.588225E-01   -9.0788E-01
 275.000   7.739569E+01   -2.552983E-01   -9.0712E-01
 280.000   7.614238E+01   -2.461039E-01   -9.0500E-01
 285.000   7.493389E+01   -2.373667E-01   -9.0279E-01
 290.000   7.376800E+01   -2.290584E-01   -9.0048E-01
 295.000   7.264264E+01   -2.211529E-01   -8.9810E-01
 300.000   7.155584E+01   -2.136261E-01   -8.9563E-01
 305.000   7.050578E+01   -2.064554E-01   -8.9310E-01
 310.000   6.949073E+01   -1.996199E-01   -8.9051E-01
 315.000   6.850905E+01   -1.931008E-01   -8.8786E-01
 320.000   6.755922E+01   -1.868795E-01   -8.8517E-01
 325.000   6.663979E+01   -1.809391E-01   -8.8243E-01
