Temperature             Resistance
(Kelvin)                (Ohms)

1.19810798897636E+00   2.84045392777437E+04
1.29883262380128E+00   2.33057234183365E+04
1.39975896627205E+00   1.95881906586395E+04
1.60012436705197E+00   1.46529561143958E+04
1.79982108149466E+00   1.15793243487422E+04
1.99987886722523E+00   9.51569255529384E+03
2.19988294100207E+00   8.05112089632874E+03
2.40158678577608E+00   6.96347418473539E+03
2.60103294449846E+00   6.13462291190764E+03
2.80229531755772E+00   5.47863329666653E+03
3.00203136553149E+00   4.95334536391149E+03
3.20082432216363E+00   4.52504599303119E+03
3.40090460469959E+00   4.16577537048290E+03
3.60158764410061E+00   3.86042530587065E+03
3.80243541477715E+00   3.59978356986266E+03
4.00329401295072E+00   3.37380472957996E+03
4.20284671394419E+00   3.17815186819986E+03
4.60257562309753E+00   2.85207366724904E+03
5.00166460664740E+00   2.59246814488833E+03
5.50035423607625E+00   2.33312724721359E+03
6.20017927005813E+00   2.05527104826194E+03
7.00314253316675E+00   1.81714016915207E+03
8.00353541210112E+00   1.59642553374765E+03
9.00583841552345E+00   1.42981172392177E+03
1.00050679046399E+01   1.30020170048673E+03
1.10059205929627E+01   1.19534988969214E+03
1.20067365087093E+01   1.10874961174799E+03
1.30058911610329E+01   1.03588804200398E+03
1.40052674683768E+01   9.73452495902589E+02
1.50068256296538E+01   9.19184772765742E+02
1.60104839478847E+01   8.71479993605290E+02
1.70105807134255E+01   8.29393695480946E+02
1.80105936498186E+01   7.91753290280975E+02
1.90130221863804E+01   7.57676981491127E+02
2.00521903832037E+01   7.25759966140763E+02
2.11222858409908E+01   6.95917507207436E+02
2.27130060049655E+01   6.56365037877734E+02
2.42993194949183E+01   6.21576872604133E+02
2.58844343303465E+01   5.90737618301262E+02
2.74780915453603E+01   5.62959051969240E+02
2.90772889126706E+01   5.37831150634518E+02
3.08794442363050E+01   5.12308948014182E+02
3.29845222864358E+01   4.85637023323057E+02
3.59788722004772E+01   4.52537069202570E+02
3.89753884278360E+01   4.23961082575892E+02
4.19604503623372E+01   3.99165437465680E+02
4.49494787984315E+01   3.77246591671769E+02
4.79515564640163E+01   3.57744779359335E+02
4.99456083096165E+01   3.45932194214082E+02
5.49444633769629E+01   3.19736354799592E+02
5.99508047118584E+01   2.97435044025657E+02
6.49512580026181E+01   2.78238060483688E+02
6.99475242981330E+01   2.61499270882827E+02
7.49481711230201E+01   2.46781925337069E+02
7.99447099644716E+01   2.33685142860311E+02
8.49434200734927E+01   2.21969724976221E+02
8.99392608232739E+01   2.11405774792569E+02
9.49382130042560E+01   2.01831974358322E+02
9.99383788797632E+01   1.93085530253830E+02
1.09935415814580E+02   1.77753087182636E+02
1.19936905826071E+02   1.64665996699874E+02
1.29931844766352E+02   1.53390357518185E+02
1.39929321168190E+02   1.43559939608761E+02
1.49935899696396E+02   1.34901798146319E+02
1.59936524753226E+02   1.27230410774127E+02
1.69933266461166E+02   1.20382376092049E+02
1.79930526919891E+02   1.14246283391371E+02
1.89924193196998E+02   1.08715906869178E+02
1.99928709488279E+02   1.03698063112045E+02
2.09933308142892E+02   9.91351876676216E+01
2.19937909677832E+02   9.49776231438705E+01
2.29935355052899E+02   9.11658495871951E+01
2.39925927157266E+02   8.76689276677472E+01
2.49923595355979E+02   8.44490038660230E+01
2.59934413798549E+02   8.14659437268690E+01
2.69930731632985E+02   7.87173619047100E+01
2.79932190150422E+02   7.61592895464786E+01
2.89947302272394E+02   7.37789824481553E+01
2.99936056063640E+02   7.15663322591656E+01
3.09951749307285E+02   6.95014333566810E+01
3.14951733376931E+02   6.85182615694480E+01
3.19950084185669E+02   6.75688193572710E+01
3.25945439719872E+02   6.64687166131562E+01
3.29946110700544E+02   6.57597848813349E+01
