Temperature             Resistance
(Kelvin)                (Ohms)

1.19974415800909E+00   2.59880447126960E+04
1.30360750457277E+00   2.12117412907749E+04
1.40055665464868E+00   1.79391121035959E+04
1.60208290682030E+00   1.33670040452084E+04
1.79917245621756E+00   1.05889564431145E+04
2.00126195397479E+00   8.68378771483926E+03
2.20061518952885E+00   7.35290943202071E+03
2.39789022088451E+00   6.37416288901612E+03
2.59909500405761E+00   5.60803619301814E+03
2.80024041126533E+00   5.00785946218870E+03
3.00090930271752E+00   4.52724575284292E+03
3.20067995094959E+00   4.13511078440435E+03
3.40018711450117E+00   3.80955145196228E+03
3.60023425070111E+00   3.53331237105093E+03
3.79957497280163E+00   3.29774446042934E+03
4.01020041717972E+00   3.08307075179327E+03
4.19678606969859E+00   2.91657104256673E+03
4.65344338397562E+00   2.58494841201282E+03
5.06107162679562E+00   2.35168880488022E+03
5.57283316139580E+00   2.11809364837632E+03
6.29120671643561E+00   1.86918865235079E+03
7.11179337665592E+00   1.65702781263627E+03
8.14206813200639E+00   1.45850451958688E+03
9.17466841125711E+00   1.30923933620494E+03
1.02053352674885E+01   1.19285897880434E+03
1.12306632658322E+01   1.09932839772054E+03
1.22436434063682E+01   1.02258681372599E+03
1.32399166242233E+01   9.58720081851508E+02
1.42328299694671E+01   9.03679093929232E+02
1.52156982774323E+01   8.56124495352732E+02
1.61927477361483E+01   8.14334162405932E+02
1.71642796518730E+01   7.77228055206708E+02
1.81333940009157E+01   7.43876296813776E+02
1.91017451910883E+01   7.13659862879634E+02
2.00724617526551E+01   6.86029327281197E+02
2.11416133909373E+01   6.58184924431796E+02
2.27196526438981E+01   6.21431145775285E+02
2.43180366676859E+01   5.88539451598709E+02
2.59063706530942E+01   5.59294502856351E+02
2.75013176269009E+01   5.32976115742648E+02
2.91123032107924E+01   5.09004187858876E+02
3.09083921492983E+01   4.84778463155974E+02
3.30095101140114E+01   4.59364236355008E+02
3.60066460986005E+01   4.27509620162726E+02
3.90067262511260E+01   4.00001288634320E+02
4.20053088673620E+01   3.75952472231815E+02
4.50123986953557E+01   3.54687353579737E+02
4.80102263760714E+01   3.35853657324914E+02
5.00086105326264E+01   3.24388725519690E+02
5.50008369448284E+01   2.98999448719801E+02
6.00016042169496E+01   2.77401174677454E+02
6.50032603985039E+01   2.58775902224078E+02
7.00027232261161E+01   2.42571892150029E+02
7.50028837186209E+01   2.28299101176518E+02
8.00027908255547E+01   2.15656115847508E+02
8.50007811905764E+01   2.04353473475428E+02
9.00014651488779E+01   1.94174240871902E+02
9.50062111619906E+01   1.84960119223214E+02
1.00000173869691E+02   1.76597994534796E+02
1.10002264508735E+02   1.61916463356230E+02
1.20006814171239E+02   1.49476291090755E+02
1.30002706274171E+02   1.38803156400571E+02
1.40021006759855E+02   1.29511074512412E+02
1.50031904520125E+02   1.21377471655315E+02
1.60031533580813E+02   1.14210606310181E+02
1.70039559474355E+02   1.07828223565090E+02
1.80048056731099E+02   1.02122611972466E+02
1.90055903499986E+02   9.70019111287442E+01
2.00064069758092E+02   9.23774156704193E+01
2.10066040029906E+02   8.81902653042812E+01
2.20071555698404E+02   8.43757896118153E+01
2.30087114675069E+02   8.08885291702602E+01
2.40097010962329E+02   7.77036580207993E+01
2.50092224179828E+02   7.47774032207404E+01
2.60085810026973E+02   7.20728854619763E+01
2.70109729305402E+02   6.95863549540478E+01
2.80115347817158E+02   6.72782980564220E+01
2.90107524266187E+02   6.51393066496105E+01
3.00128594695893E+02   6.31522583890336E+01
3.10119268685777E+02   6.13004505378953E+01
3.15124943864466E+02   6.04191814783013E+01
3.20121724520847E+02   5.95691402146848E+01
3.26152569564339E+02   5.85797763649983E+01
3.30128312190199E+02   5.79506098172316E+01
