Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   1.400   1.795873E+04   -2.929676E+04   -2.2839E+00
   1.500   1.538860E+04   -2.247883E+04   -2.1911E+00
   1.600   1.340073E+04   -1.753735E+04   -2.0939E+00
   1.700   1.183659E+04   -1.393740E+04   -2.0017E+00
   1.800   1.058072E+04   -1.131768E+04   -1.9254E+00
   1.900   9.551263E+03   -9.356601E+03   -1.8613E+00
   2.000   8.694553E+03   -7.842297E+03   -1.8040E+00
   2.100   7.971981E+03   -6.653828E+03   -1.7528E+00
   2.200   7.355848E+03   -5.704076E+03   -1.7060E+00
   2.300   6.825156E+03   -4.935157E+03   -1.6631E+00
   2.400   6.364239E+03   -4.303814E+03   -1.6230E+00
   2.500   5.960806E+03   -3.780446E+03   -1.5855E+00
   2.600   5.605304E+03   -3.342554E+03   -1.5504E+00
   2.700   5.290013E+03   -2.973301E+03   -1.5176E+00
   2.800   5.008800E+03   -2.659436E+03   -1.4867E+00
   2.900   4.756616E+03   -2.390945E+03   -1.4577E+00
   3.000   4.529370E+03   -2.159709E+03   -1.4305E+00
   3.100   4.323642E+03   -1.959461E+03   -1.4049E+00
   3.200   4.136619E+03   -1.785001E+03   -1.3808E+00
   3.300   3.965918E+03   -1.632275E+03   -1.3582E+00
   3.400   3.809554E+03   -1.497869E+03   -1.3368E+00
   3.500   3.665824E+03   -1.379071E+03   -1.3167E+00
   3.600   3.533296E+03   -1.273580E+03   -1.2976E+00
   3.700   3.410727E+03   -1.179552E+03   -1.2796E+00
   3.800   3.297057E+03   -1.095406E+03   -1.2625E+00
   3.900   3.191361E+03   -1.019818E+03   -1.2463E+00
   4.000   3.092846E+03   -9.516483E+02   -1.2308E+00
   4.200   2.914639E+03   -8.343003E+02   -1.2022E+00
   4.400   2.757789E+03   -7.370726E+02   -1.1760E+00
   4.600   2.618754E+03   -6.556934E+02   -1.1518E+00
   4.800   2.494642E+03   -5.872731E+02   -1.1300E+00
   5.000   2.383181E+03   -5.288699E+02   -1.1096E+00
   5.200   2.282532E+03   -4.788340E+02   -1.0909E+00
   5.400   2.191204E+03   -4.354793E+02   -1.0732E+00
   5.600   2.107954E+03   -3.979205E+02   -1.0571E+00
   5.800   2.031729E+03   -3.650105E+02   -1.0420E+00
   6.000   1.961693E+03   -3.359488E+02   -1.0275E+00
   6.500   1.809128E+03   -2.772380E+02   -9.9609E-01
   7.000   1.682124E+03   -2.327854E+02   -9.6871E-01
   7.500   1.574627E+03   -1.985451E+02   -9.4568E-01
   8.000   1.482402E+03   -1.714141E+02   -9.2506E-01
   8.500   1.402287E+03   -1.497854E+02   -9.0793E-01
   9.000   1.331969E+03   -1.320759E+02   -8.9243E-01
   9.500   1.269681E+03   -1.175187E+02   -8.7930E-01
  10.000   1.214062E+03   -1.053135E+02   -8.6745E-01
  10.500   1.164041E+03   -9.505145E+01   -8.5739E-01
  11.000   1.118765E+03   -8.627840E+01   -8.4831E-01
  11.500   1.077551E+03   -7.876134E+01   -8.4057E-01
  12.000   1.039840E+03   -7.223862E+01   -8.3365E-01
  12.500   1.005170E+03   -6.656552E+01   -8.2779E-01
  13.000   9.731633E+02   -6.156463E+01   -8.2241E-01
  13.500   9.435074E+02   -5.715004E+01   -8.1772E-01
  14.000   9.159281E+02   -5.324809E+01   -8.1390E-01
  14.500   8.901839E+02   -4.979234E+01   -8.1106E-01
  15.000   8.660817E+02   -4.666738E+01   -8.0825E-01
  15.500   8.434679E+02   -4.383497E+01   -8.0553E-01
  16.000   8.222011E+02   -4.127572E+01   -8.0322E-01
  16.500   8.021509E+02   -3.896213E+01   -8.0144E-01
  17.000   7.832050E+02   -3.685380E+01   -7.9994E-01
  17.500   7.652662E+02   -3.492977E+01   -7.9877E-01
  18.000   7.482485E+02   -3.316679E+01   -7.9787E-01
  18.500   7.320751E+02   -3.154909E+01   -7.9727E-01
  19.000   7.166784E+02   -3.005800E+01   -7.9687E-01
  19.500   7.019978E+02   -2.868160E+01   -7.9671E-01
  20.000   6.879799E+02   -2.740648E+01   -7.9672E-01
  21.000   6.617428E+02   -2.512253E+01   -7.9725E-01
  22.000   6.376350E+02   -2.313695E+01   -7.9828E-01
  23.000   6.153867E+02   -2.139782E+01   -7.9974E-01
  24.000   5.947723E+02   -1.986183E+01   -8.0146E-01
  25.000   5.756051E+02   -1.849852E+01   -8.0344E-01
  26.000   5.577272E+02   -1.728007E+01   -8.0556E-01
  27.000   5.410038E+02   -1.618562E+01   -8.0778E-01
  28.000   5.253200E+02   -1.519849E+01   -8.1009E-01
  29.000   5.105763E+02   -1.430352E+01   -8.1242E-01
  30.000   4.966859E+02   -1.348952E+01   -8.1477E-01
  31.000   4.835737E+02   -1.274629E+01   -8.1711E-01
  32.000   4.711726E+02   -1.206537E+01   -8.1943E-01
  33.000   4.594244E+02   -1.144004E+01   -8.2173E-01
  34.000   4.482762E+02   -1.086383E+01   -8.2398E-01
  35.000   4.376823E+02   -1.033090E+01   -8.2613E-01
  36.000   4.276010E+02   -9.838126E+00   -8.2828E-01
  37.000   4.179942E+02   -9.380998E+00   -8.3039E-01
  38.000   4.088285E+02   -8.955376E+00   -8.3239E-01
  39.000   4.000736E+02   -8.559157E+00   -8.3436E-01
  40.000   3.917014E+02   -8.189372E+00   -8.3629E-01
  42.000   3.760074E+02   -7.519429E+00   -8.3992E-01
  44.000   3.615699E+02   -6.930199E+00   -8.4335E-01
  46.000   3.482410E+02   -6.409096E+00   -8.4659E-01
  48.000   3.358955E+02   -5.945444E+00   -8.4961E-01
  50.000   3.244261E+02   -5.531650E+00   -8.5253E-01
  52.000   3.137407E+02   -5.160148E+00   -8.5525E-01
  54.000   3.037610E+02   -4.825302E+00   -8.5780E-01
  56.000   2.944175E+02   -4.523256E+00   -8.6035E-01
  58.000   2.856497E+02   -4.248900E+00   -8.6272E-01
  60.000   2.774053E+02   -3.999430E+00   -8.6504E-01
  65.000   2.587908E+02   -3.466006E+00   -8.7055E-01
  70.000   2.425755E+02   -3.034731E+00   -8.7573E-01
  75.000   2.283128E+02   -2.682013E+00   -8.8103E-01
  77.350   2.221816E+02   -2.537890E+00   -8.8354E-01
  80.000   2.156573E+02   -2.388304E+00   -8.8596E-01
  85.000   2.043518E+02   -2.141372E+00   -8.9070E-01
  90.000   1.941796E+02   -1.932903E+00   -8.9588E-01
  95.000   1.849736E+02   -1.753993E+00   -9.0083E-01
 100.000   1.765992E+02   -1.599427E+00   -9.0568E-01
 105.000   1.689464E+02   -1.464632E+00   -9.1027E-01
 110.000   1.619252E+02   -1.346413E+00   -9.1465E-01
 115.000   1.554591E+02   -1.242123E+00   -9.1885E-01
 120.000   1.494845E+02   -1.149534E+00   -9.2280E-01
 125.000   1.439471E+02   -1.066959E+00   -9.2652E-01
 130.000   1.388006E+02   -9.929570E-01   -9.3000E-01
 135.000   1.340051E+02   -9.263695E-01   -9.3325E-01
 140.000   1.295263E+02   -8.661971E-01   -9.3624E-01
 145.000   1.253338E+02   -8.116352E-01   -9.3899E-01
 150.000   1.214017E+02   -7.619788E-01   -9.4148E-01
 155.000   1.177068E+02   -7.166525E-01   -9.4371E-01
 160.000   1.142288E+02   -6.751464E-01   -9.4568E-01
 165.000   1.109497E+02   -6.370400E-01   -9.4738E-01
 170.000   1.078534E+02   -6.019583E-01   -9.4881E-01
 175.000   1.049256E+02   -5.695884E-01   -9.4999E-01
 180.000   1.021535E+02   -5.396485E-01   -9.5089E-01
 185.000   9.952546E+01   -5.119022E-01   -9.5153E-01
 190.000   9.703116E+01   -4.861345E-01   -9.5192E-01
 195.000   9.466112E+01   -4.621635E-01   -9.5205E-01
 200.000   9.240681E+01   -4.398228E-01   -9.5193E-01
 205.000   9.026041E+01   -4.189706E-01   -9.5157E-01
 210.000   8.821484E+01   -3.994761E-01   -9.5097E-01
 215.000   8.626357E+01   -3.812270E-01   -9.5016E-01
 220.000   8.440066E+01   -3.641195E-01   -9.4912E-01
 225.000   8.262062E+01   -3.480636E-01   -9.4788E-01
 230.000   8.091842E+01   -3.329755E-01   -9.4644E-01
 235.000   7.928938E+01   -3.187824E-01   -9.4482E-01
 240.000   7.772921E+01   -3.054161E-01   -9.4302E-01
 245.000   7.623394E+01   -2.928167E-01   -9.4105E-01
 250.000   7.479986E+01   -2.809283E-01   -9.3893E-01
 255.000   7.342355E+01   -2.697012E-01   -9.3667E-01
 260.000   7.210183E+01   -2.590890E-01   -9.3428E-01
 265.000   7.083171E+01   -2.490502E-01   -9.3176E-01
 270.000   6.961043E+01   -2.395460E-01   -9.2913E-01
 273.150   6.886494E+01   -2.338174E-01   -9.2743E-01
 275.000   6.843541E+01   -2.305414E-01   -9.2640E-01
 280.000   6.730424E+01   -2.220036E-01   -9.2358E-01
 285.000   6.621465E+01   -2.139030E-01   -9.2068E-01
 290.000   6.516453E+01   -2.062117E-01   -9.1770E-01
 295.000   6.415189E+01   -1.989044E-01   -9.1465E-01
 300.000   6.317488E+01   -1.919574E-01   -9.1155E-01
 305.000   6.223175E+01   -1.853489E-01   -9.0840E-01
 310.000   6.132087E+01   -1.790581E-01   -9.0521E-01
 315.000   6.044067E+01   -1.730672E-01   -9.0198E-01
 320.000   5.958973E+01   -1.673577E-01   -8.9872E-01
 325.000   5.876665E+01   -1.619135E-01   -8.9544E-01
